in Sa,Frequency in Hz,Gain in dB,Phase in Â°,Amplitude in Vpp
1.0E+00,1.000E+02,2.019E+01,1.799E+02,1.000E-01
2.0E+00,1.122E+02,2.019E+01,1.799E+02,1.000E-01
3.0E+00,1.259E+02,2.019E+01,1.800E+02,1.000E-01
4.0E+00,1.413E+02,2.019E+01,1.799E+02,1.000E-01
5.0E+00,1.585E+02,2.018E+01,1.799E+02,1.000E-01
6.0E+00,1.778E+02,2.019E+01,1.799E+02,1.000E-01
7.0E+00,1.995E+02,2.017E+01,1.798E+02,1.000E-01
8.0E+00,2.239E+02,2.018E+01,1.798E+02,1.000E-01
9.0E+00,2.512E+02,2.020E+01,1.798E+02,1.000E-01
1.0E+01,2.818E+02,2.019E+01,1.798E+02,1.000E-01
1.1E+01,3.162E+02,2.019E+01,1.796E+02,1.000E-01
1.2E+01,3.548E+02,2.018E+01,1.798E+02,1.000E-01
1.3E+01,3.981E+02,2.018E+01,1.797E+02,1.000E-01
1.4E+01,4.467E+02,2.019E+01,1.795E+02,1.000E-01
1.5E+01,5.012E+02,2.018E+01,1.794E+02,1.000E-01
1.6E+01,5.623E+02,2.019E+01,1.793E+02,1.000E-01
1.7E+01,6.310E+02,2.019E+01,1.794E+02,1.000E-01
1.8E+01,7.079E+02,2.020E+01,1.793E+02,1.000E-01
1.9E+01,7.943E+02,2.019E+01,1.792E+02,1.000E-01
2.0E+01,8.913E+02,2.018E+01,1.791E+02,1.000E-01
2.1E+01,1.000E+03,2.018E+01,1.790E+02,1.000E-01
2.2E+01,1.122E+03,2.016E+01,1.787E+02,1.000E-01
2.3E+01,1.259E+03,2.019E+01,1.786E+02,1.000E-01
2.4E+01,1.413E+03,2.017E+01,1.786E+02,1.000E-01
2.5E+01,1.585E+03,2.017E+01,1.782E+02,1.000E-01
2.6E+01,1.778E+03,2.016E+01,1.783E+02,1.000E-01
2.7E+01,1.995E+03,2.016E+01,1.780E+02,1.000E-01
2.8E+01,2.239E+03,2.016E+01,1.778E+02,1.000E-01
2.9E+01,2.512E+03,2.016E+01,1.774E+02,1.000E-01
3.0E+01,2.818E+03,2.017E+01,1.773E+02,1.000E-01
3.1E+01,3.162E+03,2.015E+01,1.768E+02,1.000E-01
3.2E+01,3.548E+03,2.015E+01,1.765E+02,1.000E-01
3.3E+01,3.981E+03,2.014E+01,1.760E+02,1.000E-01
3.4E+01,4.467E+03,2.014E+01,1.756E+02,1.000E-01
3.5E+01,5.012E+03,2.013E+01,1.752E+02,1.000E-01
3.6E+01,5.623E+03,2.012E+01,1.746E+02,1.000E-01
3.7E+01,6.310E+03,2.012E+01,1.739E+02,1.000E-01
3.8E+01,7.079E+03,2.012E+01,1.732E+02,1.000E-01
3.9E+01,7.943E+03,2.007E+01,1.723E+02,1.000E-01
4.0E+01,8.913E+03,2.006E+01,1.715E+02,1.000E-01
4.1E+01,1.000E+04,2.005E+01,1.705E+02,1.000E-01
4.2E+01,1.122E+04,2.001E+01,1.694E+02,1.000E-01
4.3E+01,1.259E+04,1.999E+01,1.682E+02,1.000E-01
4.4E+01,1.413E+04,1.993E+01,1.667E+02,1.000E-01
4.5E+01,1.585E+04,1.987E+01,1.652E+02,1.000E-01
4.6E+01,1.778E+04,1.982E+01,1.635E+02,1.000E-01
4.7E+01,1.995E+04,1.972E+01,1.616E+02,1.000E-01
4.8E+01,2.239E+04,1.962E+01,1.596E+02,1.000E-01
4.9E+01,2.512E+04,1.949E+01,1.573E+02,1.000E-01
5.0E+01,2.818E+04,1.933E+01,1.549E+02,1.000E-01
5.1E+01,3.162E+04,1.915E+01,1.522E+02,1.000E-01
5.2E+01,3.548E+04,1.893E+01,1.494E+02,1.000E-01
5.3E+01,3.981E+04,1.869E+01,1.462E+02,1.000E-01
5.4E+01,4.467E+04,1.838E+01,1.431E+02,1.000E-01
5.5E+01,5.012E+04,1.802E+01,1.397E+02,1.000E-01
5.6E+01,5.623E+04,1.762E+01,1.363E+02,1.000E-01
5.7E+01,6.310E+04,1.717E+01,1.327E+02,1.000E-01
5.8E+01,7.079E+04,1.666E+01,1.292E+02,1.000E-01
5.9E+01,7.943E+04,1.609E+01,1.255E+02,1.000E-01
6.0E+01,8.913E+04,1.549E+01,1.219E+02,1.000E-01
6.1E+01,1.000E+05,1.482E+01,1.184E+02,1.000E-01
6.2E+01,1.122E+05,1.411E+01,1.149E+02,1.000E-01
6.3E+01,1.259E+05,1.337E+01,1.115E+02,1.000E-01
6.4E+01,1.413E+05,1.260E+01,1.083E+02,1.000E-01
6.5E+01,1.585E+05,1.181E+01,1.052E+02,1.000E-01
6.6E+01,1.778E+05,1.098E+01,1.021E+02,1.000E-01
6.7E+01,1.995E+05,1.014E+01,9.910E+01,1.000E-01
6.8E+01,2.239E+05,9.293E+00,9.615E+01,1.000E-01
6.9E+01,2.512E+05,8.444E+00,9.313E+01,1.000E-01
7.0E+01,2.818E+05,7.656E+00,9.010E+01,1.000E-01
7.1E+01,3.162E+05,6.721E+00,8.636E+01,1.000E-01
7.2E+01,3.548E+05,5.841E+00,8.417E+01,1.000E-01
7.3E+01,3.981E+05,5.043E+00,8.136E+01,1.000E-01
7.4E+01,4.467E+05,4.259E+00,7.839E+01,1.000E-01
7.5E+01,5.012E+05,3.508E+00,7.527E+01,1.000E-01
7.6E+01,5.623E+05,2.798E+00,7.204E+01,1.000E-01
7.7E+01,6.310E+05,2.128E+00,6.869E+01,1.000E-01
7.8E+01,7.079E+05,1.509E+00,6.536E+01,1.000E-01
7.9E+01,7.943E+05,9.412E-01,6.187E+01,1.000E-01
8.0E+01,8.913E+05,4.432E-01,5.836E+01,1.000E-01
8.1E+01,1.000E+06,3.891E-03,5.476E+01,1.000E-01
